,Company,Salary,JobTitle,Location,Job Description,Rating,Industry,Size,Founded,Revenue,hourly,Employer provided,Min_Salary,Max_Salary,Average Salary,Job_State,Job_City,age,Python,r_Studio,Spark,aws,excel
81,Agilent Technologies Inc.,$123K - $227K (Employer est.),Machine Learning Data Scientist,Texas,"Job Description
Agilent inspires and supports discoveries that advance the quality of life. We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise. Agilent enables customers to gain the answers and insights they seek - so they can do what they do best: improve the world around us.
Agilent has a great culture based on the belief that our people are our greatest asset. Our values are present in all we do – Uncompromising integrity, Trust, Respect, Teamwork, Focus, Accountability, Speaking Up and Innovation. Agilent culture provides flexibility to manage job and personal demands by offering hybrid work arrangements. We want employees to work at Agilent offices part of the week to strengthen teamwork and preserve our strong company culture, and work from home the balance of the week to offer our employees more flexibility. We value flexibility and consider it critical to employee engagement and retention.
Agilent Technologies, Inc. is an Equal Employment Opportunity and Affirmative Action employer. We value diversity at all levels. All individuals, regardless of personal characteristics, are encouraged to apply. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, religion or religious creed, color, gender, gender identity, gender expression, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status, registered domestic partner status, age, sexual orientation, military or veteran status, protected veteran status, or any other basis protected by federal, state, local law, ordinance, or regulation and will not be discriminated against on these bases.
Agilent Technologies, Inc., is committed to diversity in the workplace and strives to support candidates with disabilities. If you have a disability and need assistance with any part of the application or interview process or have questions about workplace accessibility, please email job_posting@agilent.com or contact +1-262-754-5030.
For more information about equal employment opportunity protections, please see all of our notices for EEO below.
Yes
Occasional
Schedule:Full time
Day
No End Date
R&D
Show More
Report",4.2,Company - Public,10000+ Employees,1999,$1 to $5 billion (USD),0,1,123.0,227.0,175.0,Texas,Texas,24,0,0,0,0,0
82,Caterpillar,$109K - $158K (Glassdoor est.),"Lead Data Scientist, ML/AI","Chicago, IL","Career Area:
Information Analytics
Job Description:
Big machines require big thinking. Are you looking for your next big challenge?

Cat® Digital is the digital and technology arm of Caterpillar Inc., leveraging the latest technologies to build industry leading digital solutions for our customers and dealers. With over one million connected assets worldwide, our teams use data, technology, advanced analytics, telematics and AI capabilities to help our customers build a better world.





Show More
Report",4.0,Company - Public,10000+ Employees,1925,$10+ billion (USD),0,0,109.0,158.0,133.5, IL,Chicago,98,0,0,0,0,0
83,Anyscale,$170K - $237K (Employer est.),Software Engineer (Machine Learning),"San Francisco, CA","About Anyscale:

Anyscale provides a development platform intended to simplify distributed computing. This enables software developers of all skill levels to build applications that run at any scale from a laptop to the data center.

We're commercializing a popular open source project called Ray - which is a framework for distributed computing as well as an ecosystem of libraries for scalable machine learning.

Our goal is to enable organizations to accelerate the progress of AI applications out into the real world and at lower cost. Backed by Andreessen Horowitz, NEA, and Addition.

Anyscale is based in San Francisco, CA.

About the role:









Show More
Report",4.0,Company - Private,51 to 200 Employees,2019,Unknown / Non-Applicable,0,1,170.0,237.0,203.5, CA,San Francisco,4,0,0,0,0,0
84,"Fiserv, Inc.",$80K - $113K (Glassdoor est.),Jr. Data Scientist,"Berkeley Heights, NJ","What does a great Jr. Data Scientist do at Fiserv?
You’ll be a part of Global Business Solutions (Merchant business) – Fraud and Credit Decision Science team, responsible for developing and deploying predictive ML models in the form of automated risk controls that help in reducing fraud and credit risk losses as well as enabling top line growth. As a part of this team, you’ll be using internal and external data assets to generate insightful analytics, build models/rules, create data driven capabilities/ solutions to manage risk and identify new areas of opportunity. Key functions supported by the team include New Merchant Onboarding & Underwriting, Existing Merchant Risk Monitoring, Lending Products, and other/ commercial Risk Solutions. This position will be a critical interface with stakeholders within and outside Fiserv in building best-in-class analytical solutions.
We'll help you to:
Show More
Report",3.2,Company - Public,10000+ Employees,1984,$10+ billion (USD),0,0,80.0,113.0,96.5, NJ,Berkeley Heights,39,0,0,0,0,0
85,L'Oreal,$73K - $116K (Glassdoor est.),"Junior Data Scientist, L'Oreal Research & Innovation","Clark, NJ","Job Title Sr Analyst I – Junior Data Scientist
Division: Research & Innovation
Location: Clark, NJ
Reports To: VP, NA Digital Transformation IT
Who We Are:
For more than a century, L’Oréal has devoted its energy, innovation, and scientific excellence solely to one business: Beauty. Our goal is to offer each and every person around the world the best of beauty in terms of quality, efficacy, safety, sincerity and responsibility to satisfy all beauty needs and desires in their infinite diversity.

Show More
Report",4.0,Company - Private,10000+ Employees,1909,$10+ billion (USD),0,0,73.0,116.0,94.5, NJ,Clark,114,0,0,0,0,1
86,Smart AdServer,$95K - $115K (Employer est.),"Sr Data Analyst, AMERICAS","New York, NY","Hi! We are Smart!
*
Smart is an AdTech leader created in 2001 on the belief that we can disrupt the on-line advertising industry.
*
*
Headquartered in the heart of Paris and with offices in 12 countries, Smart provides cutting-edge technologies that help hundreds of prestigious customers take back control and maximize their digital revenues with a flexible and transparent audience monetization platform.
*
*
We can rely on a unique group of 280+ Smarties focused on excellence to shape our future. They continually embrace change and overcome challenges together to make innovation happen. That means we can offer you endless opportunities to do the same and let you shape the world you want!
*
*

Show More
Report",4.5,Company - Private,501 to 1000 Employees,2001,Unknown / Non-Applicable,0,1,95.0,115.0,105.0, NY,New York,22,0,0,0,0,1
87,"TechData Service Company, LLC",$47.00 Per Hour(Employer est.),Data Science Program Lead II - LPAB21654,Remote,"Job Title: Data Science Program Lead II
Location: 100% remote
Duration: 12+ Months
Purpose:
Describe the primary goals, objectives or functions or outputs of this position.
Company is the best-in-class team within its cross-industry peer group and is responsible for bringing people, process, and technology together to generate business value from clinical trials data. Our operational model is exemplified through execution and innovation. This role is key to ensuring successful delivery against the program- and study-level accountabilities assigned to Data and Statistical Sciences.
Responsibilities:
List up to 10 main responsibilities for the job. Include information about the accountability and scope.
•Aligns DSS study teams with program- and study-level strategies. Assigned programs may include programs that are of low complexity and size. For assigned programs and studies, leads the DSS Study Team and represents DS as a member of the cross-functional study team
•For assigned programs and studies, acts as single point of contact and accountable operational lead from DSS. Coordinates associated DSS study teams to meet operational objectives. Engages and connects global functional and cross-functional teams at the study level
•Interacts with and influences cross-functional team members to achieve program objectives
•Utilizes operational analytics and project management tools to optimize execution of programs and studies, to manage internal and external resources, to track study progress, and to prepare study status reports. Anticipates and identifies issues that could affect timelines or quality and develops options and solutions
•Ensures adherence to federal regulations and applicable local regulations, Good Clinical Practices (GCPs), ICH Guidelines, company Standard Operating Procedures (SOPs), and to functional quality standards. Stays abreast of new and/or evolving local regulations, guidelines and policies related to clinical development. If assigned, participates as the DS study owner in regulatory inspections and internal quality audits
•Participates in oversight of vendors and provides feedback related to clinical trial operations, issues, and trends in performance
•Responsible for coaching and mentoring team members
•Leads DSS innovation and process improvement initiatives and participates in cross-functional initiatives
•Conducts study execution “lessons learned” across functions
•May include indirect supervision of employee as well as supervision of work of contract resources




















Show More
Report",4.4,Information Technology Support Services,1 to 50 Employees,Company - Private,-1,1,1,47.0,47.0,47.0,Remote,Remote,-1,0,0,0,0,0
88,Advance Local,$120K - $140K (Employer est.),Data Scientist,Remote,"Position Summary:
The position pays between $120,000 and $140,000 annual salary.

The Data Scientist applies data mining techniques, conducts statistical analysis, and builds high quality prediction systems integrated with our products and the customer data platform to increase consumer and advertising revenue. This position uses large data sets to find opportunities for product, marketing, UX and process optimization and builds models to enable advanced hypotheses testing of different courses of action to improve and increase business performance.

Required Education, Experience and Skills:
Bachelor’s degree in statistics, mathematics, computer science or another quantitative field required; master’s degree preferred
Minimum two years’ experience manipulating data sets and building statistical models

The duties listed are intended as examples only and may not represent a complete list. Duties and Responsibilities, work schedules and/or location may change based on evolving business needs.

Working Conditions and Physical Requirements
General Office Environment. Extensive computer use required.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled
Show More
Report",3.8,Publishing,1001 to 5000 Employees,Company - Private,-1,0,1,120.0,140.0,130.0,Remote,Remote,-1,0,0,0,0,0
89,Driscoll Health,$71K - $115K (Glassdoor est.),Data Scientist,"Corpus Christi, TX","Where compassion meets innovation and technology and our employees are family.
Thank you for your interest in joining our team! Please review the job information below.
The job requires the ability to design reports using industry standard tools to mine data from the hospitals financial, operational and clinical enterprise systems. The information produced is for enhancing business/clinical processes. The successful candidate should have working experience with relational database querying tools and critical thinking skills to determine the appropriate course of action to meet reporting needs. The successful candidate must possess the ability to work in a team setting as well as independently and possess excellent analytical skills. Communication skills need to be above average to assess customer needs, assist others with report writing, and explain reports to customer audience. Preferred candidates must be well versed in financial and clinical reporting. Preferred candidate will have healthcare industry or related experience, prior experience working with an Electronic Medical Record (EMR)system, knowledge of Clarity data structure for financial and clinical applications, experience with report performance tuning and optimization, experience with SQL query writing and comfortable in making data manipulations and calculations directly in the SQL script.
Show More
Report",4.0,Health Care Services & Hospitals,Unknown,Hospital,-1,0,0,71.0,115.0,93.0, TX,Corpus Christi,-1,0,0,0,0,1
92,Talentech Consulting LLC,$60K - $121K (Employer est.),Senior Statistical Programmer,Remote,"Talentech Consulting LLC is looking for multiple professional Senior Statistical Programmers to work on client’s clinical research projects.
The expectation for this role would be ""hands on"" programming 100% of the time on tables, listings, figures, and SAS datasets.
BA/BSc or higher degree in Computer Science, Statistics, Mathematics, Life Sciences or other related scientific subject, or work experience equivalent
5-8 years of relevant career experience programming in a clinical development environment
Excellent SAS data manipulation, analysis and reporting skills
Ability to provide quality output and deliverables
Ability to write, test, and validate SAS programs, and review resulting output and data.

Show More
Report",4.7,Unknown / Non-Applicable,1 to 50 Employees,Contract,-1,0,1,60.0,121.0,90.5,Remote,Remote,-1,0,0,0,0,1
93,Studio X,$82K - $126K (Glassdoor est.),Junior Data Scientist,"Austin, TX","General Overview
Studio X is a global innovation studio accelerating the pace of energy innovation, by harnessing the spirit of innovation, collaboration, community, and a passion for pursuing what's possible. With Studio X, people are able to come together from around the world to transform the way energy innovation works. Together we can equip top talent with cutting-edge tools, data, and resources from one of the world's largest companies in order to disrupt a multi-trillion dollar industry.

Currently, Studio X is comprised of three distinct offerings:
XCover offers new ways of utilizing technology and talent to solve complex energy problems. We create pathways to accelerate results for energy projects, and enable innovation to go further, faster.

Show More
Report",5.0,Subsidiary or Business Segment,1 to 50 Employees,2020,Unknown / Non-Applicable,0,0,82.0,126.0,104.0, TX,Austin,3,0,0,0,0,0
94,UBS,$105K - $125K (Employer est.),Data Scientist,"New York, NY","United States - New Jersey, United States - New York
Finance
Group Functions
Job Reference #
274607BR
City
New York, Weehawken
Job Type
Full Time






Show More
Report",3.9,Company - Public,10000+ Employees,1862,$10+ billion (USD),0,1,105.0,125.0,115.0, NY,New York,161,0,0,0,0,0
95,Kraft Heinz Company,$83K - $104K (Employer est.),Data Scientist,Illinois,"General information
All posting locations: Remote, Illinois, United States of America
Job Function: 16 - Digital
Date Published: 24-Feb-2023
Ref #: R-67069
Base Salary Range: $83,400.00 - $104,200.00
Target Total Cash Range: $104,250.00 - $130,250.00
Target total cash represents this role's annualized cash earning potential at target (base salary + target bonus). Target total cash is contingent on targeted company performance achievement and individual attainment of performance goals. Therefore, target total cash is not guaranteed earnings.
Show More
Report",3.5,Company - Public,10000+ Employees,2015,$10+ billion (USD),0,1,83.0,104.0,93.5,Illinois,Illinois,8,0,0,0,0,0
96,Colsh Consultants,$107K - $166K (Glassdoor est.),Data Scientist,"Santa Clara, CA","Responsibilities

• Make recommendations regarding the collection, extraction, and transformation of large data sets
• Interpret data and analyze results
• Translate analytical insights into clear recommendations; identify trends and patterns to inform business decisions and product design
• Leverage Python to analyze complex data
• Design and develop customized interactive reports and dashboards in Tableau; schedule in Tableau Server
• Define and develop a data migration strategy between different products and platforms
• Develop creative ways to identify and use data that significantly impact key business metrics
• Assess the potential usefulness and validity of new data sources
• Utilize statistical approaches to build predictive models
• Mentor other team members/ analysts to grow their skills and careers
Show More
Report",4.5,Unknown,Unknown,2005,Unknown / Non-Applicable,0,0,107.0,166.0,136.5, CA,Santa Clara,18,1,0,0,0,0
97,Procter & Gamble,$85K - $115K (Employer est.),Data Scientist,"Cincinnati, OH","Do you like to apply Data Science in the development of machine processes and Vision Systems in the consumer goods industry? Do you like to solve manufacturing challenges? How would you like to turn on your creative genius and problem-solving to design next generation manufacturing systems that deliver superior quality products for consumers? If this sounds like fun, we in P&G's Feminine Care Business Unit are looking for someone with your skills and abilities.
As a FemCare Data Scientist, you will use modern data analysis and machine learning approaches to help us to develop and understand complex manufacturing systems. You will be working with cross-functional team of R&D + Product Supply scientists and engineers with expertise in R&D, manufacturing processes, modeling & simulation, and data analysis & infrastructure. This role has a unique ability to use the power of data science to deliver insights and drive end to end thinking & decision making starting from raw material to manufacturing processes to final product as delivered to our consumers. Ultimately you will be turning insights derived from data science into practical recommendations that drive business value.




Show More
Report",4.2,Company - Public,10000+ Employees,1837,$10+ billion (USD),0,1,85.0,115.0,100.0, OH,Cincinnati,186,0,0,0,0,0
98,Amex,$90K - $165K (Employer est.),Data Scientist - Global Decision Science,"New York, NY","You Lead the Way. We’ve Got Your Back.
With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities, and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.
At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.
Join Team Amex and let's lead the way together
Show More
Report",4.2,Company - Public,10000+ Employees,1850,$10+ billion (USD),0,1,90.0,165.0,127.5, NY,New York,173,0,0,0,0,0
99,Smart AdServer,$95K - $115K (Employer est.),"Sr Data Analyst, AMERICAS","New York, NY","Hi! We are Smart!
*
Smart is an AdTech leader created in 2001 on the belief that we can disrupt the on-line advertising industry.
*
*
Headquartered in the heart of Paris and with offices in 12 countries, Smart provides cutting-edge technologies that help hundreds of prestigious customers take back control and maximize their digital revenues with a flexible and transparent audience monetization platform.
*
*
We can rely on a unique group of 280+ Smarties focused on excellence to shape our future. They continually embrace change and overcome challenges together to make innovation happen. That means we can offer you endless opportunities to do the same and let you shape the world you want!
*
*

Show More
Report",4.5,Company - Private,501 to 1000 Employees,2001,Unknown / Non-Applicable,0,1,95.0,115.0,105.0, NY,New York,22,0,0,0,0,1
100,L'Oreal,$73K - $116K (Glassdoor est.),"Junior Data Scientist, L'Oreal Research & Innovation","Clark, NJ","Job Title Sr Analyst I – Junior Data Scientist
Division: Research & Innovation
Location: Clark, NJ
Reports To: VP, NA Digital Transformation IT
Who We Are:
For more than a century, L’Oréal has devoted its energy, innovation, and scientific excellence solely to one business: Beauty. Our goal is to offer each and every person around the world the best of beauty in terms of quality, efficacy, safety, sincerity and responsibility to satisfy all beauty needs and desires in their infinite diversity.

Show More
Report",4.0,Company - Private,10000+ Employees,1909,$10+ billion (USD),0,0,73.0,116.0,94.5, NJ,Clark,114,0,0,0,0,1
101,"Fiserv, Inc.",$80K - $113K (Glassdoor est.),Jr. Data Scientist,"Berkeley Heights, NJ","What does a great Jr. Data Scientist do at Fiserv?
You’ll be a part of Global Business Solutions (Merchant business) – Fraud and Credit Decision Science team, responsible for developing and deploying predictive ML models in the form of automated risk controls that help in reducing fraud and credit risk losses as well as enabling top line growth. As a part of this team, you’ll be using internal and external data assets to generate insightful analytics, build models/rules, create data driven capabilities/ solutions to manage risk and identify new areas of opportunity. Key functions supported by the team include New Merchant Onboarding & Underwriting, Existing Merchant Risk Monitoring, Lending Products, and other/ commercial Risk Solutions. This position will be a critical interface with stakeholders within and outside Fiserv in building best-in-class analytical solutions.
We'll help you to:
Show More
Report",3.2,Company - Public,10000+ Employees,1984,$10+ billion (USD),0,0,80.0,113.0,96.5, NJ,Berkeley Heights,39,0,0,0,0,0
102,"TechData Service Company, LLC",$47.00 Per Hour(Employer est.),Data Science Program Lead II - LPAB21654,Remote,"Job Title: Data Science Program Lead II
Location: 100% remote
Duration: 12+ Months
Purpose:
Describe the primary goals, objectives or functions or outputs of this position.
Company is the best-in-class team within its cross-industry peer group and is responsible for bringing people, process, and technology together to generate business value from clinical trials data. Our operational model is exemplified through execution and innovation. This role is key to ensuring successful delivery against the program- and study-level accountabilities assigned to Data and Statistical Sciences.
Responsibilities:
List up to 10 main responsibilities for the job. Include information about the accountability and scope.
•Aligns DSS study teams with program- and study-level strategies. Assigned programs may include programs that are of low complexity and size. For assigned programs and studies, leads the DSS Study Team and represents DS as a member of the cross-functional study team
•For assigned programs and studies, acts as single point of contact and accountable operational lead from DSS. Coordinates associated DSS study teams to meet operational objectives. Engages and connects global functional and cross-functional teams at the study level
•Interacts with and influences cross-functional team members to achieve program objectives
•Utilizes operational analytics and project management tools to optimize execution of programs and studies, to manage internal and external resources, to track study progress, and to prepare study status reports. Anticipates and identifies issues that could affect timelines or quality and develops options and solutions
•Ensures adherence to federal regulations and applicable local regulations, Good Clinical Practices (GCPs), ICH Guidelines, company Standard Operating Procedures (SOPs), and to functional quality standards. Stays abreast of new and/or evolving local regulations, guidelines and policies related to clinical development. If assigned, participates as the DS study owner in regulatory inspections and internal quality audits
•Participates in oversight of vendors and provides feedback related to clinical trial operations, issues, and trends in performance
•Responsible for coaching and mentoring team members
•Leads DSS innovation and process improvement initiatives and participates in cross-functional initiatives
•Conducts study execution “lessons learned” across functions
•May include indirect supervision of employee as well as supervision of work of contract resources




















Show More
Report",4.4,Information Technology Support Services,1 to 50 Employees,Company - Private,-1,1,1,47.0,47.0,47.0,Remote,Remote,-1,0,0,0,0,0
103,Physicians Mutual,$84K - $120K (Glassdoor est.),Data Scientist,"Omaha, NE","DATA SCIENTIST
PHYSICIANS MUTUAL INSURANCE COMPANY


DUTIES: Develops a data science capability that supports insurance pricing, valuation, and marketing platforms. Creates detailed analysis and operational recommendations through intense mathematical analysis, collaboration with subject matter experts, model design, and development. Leverages in-house “Big Data"" to design, implement, and build models/machine learning algorithms on computing clusters, providing technical and strategic vision, expertise, and depth to the organization.











Show More
Report",3.5,Company - Private,1001 to 5000 Employees,1902,$1 to $5 billion (USD),0,0,84.0,120.0,102.0, NE,Omaha,121,0,0,0,0,0
104,Tencent,$81K - $242K (Employer est.),Uncapped Games - Data Scientist,"Los Angeles, CA","Work Mode:
Hybrid
Responsibilities:
Description:
Are you eager to help both build a team from scratch and produce a game that’ll have a global impact?

We are seeking a talented and enthusiastic Data Scientist to join our new AAA team, Uncapped Games in Los Angeles. The ideal candidate for this role will help innovate an all-new and original IP to revolutionize RTS games for players around the world.

Perks:

Full remote work options are available based on project needs

Highly creative and collaborative start-up culture

Competitive pay and benefits
What We Are Looking For: M.S., or Ph.D. candidate in a quantitative discipline such as Statistics, Math, Economics, Computer Science, Machine Learning, or equivalent practical experience Familiar with data science methods such as data analysis and visualization, experimentation, causal inference, supervised learning, unsupervised learning, time series, probabilities and sampling methods Experienced in SQL and proficient in Python or one of other higher-level programming languages Passionate about making impact, learning new technology, and conducting applied research to solve challenging problems AAA and free to play game experience
Pluses: A passion for RTS games, bringing to the table an understanding of what makes them work well as a genre Able to work effectively with all game development disciplines Experience seeing multiple titles to completion, starting all the way from the pre-production phase to post launch data support

California
The base pay range for this position in the state(s) above is $81,400 to $242,000 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.
Show More
Report",4.0,Company - Public,10000+ Employees,1998,Unknown / Non-Applicable,0,1,81.0,242.0,161.5, CA,Los Angeles,25,1,0,0,0,0
105,CALICO,$99K - $126K (Employer est.),"Data Scientist, Image Analysis","South San Francisco, CA","Who we are:
Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science, and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.
Position description:
Calico seeks a data scientist with image analysis expertise.
This role exists within a small, cross-functional team, whose research focuses on the biology of the extracellular matrix (ECM) and connective tissue. The team combines in vivo, genetic, cell biology and data science techniques to study the decay of connective tissue and its impacts on broader biology. In this role, you will be accountable for the development and application of image analytics relevant to the team’s study of ECM form and function.
Show More
Report",4.0,Company - Private,201 to 500 Employees,2013,Unknown / Non-Applicable,0,1,99.0,126.0,112.5, CA,South San Francisco,10,0,0,0,0,0
106,Axle Informatics,$74K - $114K (Glassdoor est.),Data Scientist Trainee,"Rockville, MD","Overview:
Axle Informatics is a scientific research and information technology company that offers innovative computer services, informatics, and bioresearch solutions to research centers and healthcare organizations around the globe. With expertise in software engineering, bioinformatics, data science, molecular research, and program management, we focus on developing and applying technological tools and scientific techniques to empower the world of research. We work with some of the top research organizations and facilities in the country including multiple institutes at the National Institutes of Health (NIH). Axle is offering this postion hybrid.

We are looking for Data Science Trainees to support portions of engineering based Data Science projects which Axle Informatics teams are working on currently at the National Center for Advancing Translational Science (NCATS) and the NIH.

Responsibilities:
Qualifications:



Show More
Report",3.8,Company - Private,501 to 1000 Employees,2002,$100 to $500 million (USD),0,0,74.0,114.0,94.0, MD,Rockville,21,0,0,0,0,0
107,Tenaska,$84K - $126K (Glassdoor est.),Data Scientist,"Irving, TX","Tenaska is one of the largest privately held companies in the United States, an organization that’s adept in natural gas and power marketing, power management, development and acquisition of generation assets, operation of power plants and more.
Position Summary:
The Strategic Technology Data Scientist will develop, improve and maintain analysis, optimization and prediction tools for the business.

Essential Job Functions:
Analyze current and future business and market opportunities and develop innovative tools to capture market value along with rest of Strategic Technology team.



Show More
Report",3.9,Company - Private,501 to 1000 Employees,1987,$5 to $10 billion (USD),0,0,84.0,126.0,105.0, TX,Irving,36,0,0,0,0,0
109,eJAmerica,$56.74 - $60.77 Per Hour(Employer est.),Data Scientist,"Elk Grove, CA","The data scientist role will
o Use SQL to access data and build tables
o Use topic modeling (or a similar NLP methodology) to process survey comments
o Use Tableau to share results of NLP modeling
Job Type: Contract
Salary: $56.74 - $60.77 per hour
Schedule:
8 hour shift
Show More
Report",4.2,Unknown / Non-Applicable,1 to 50 Employees,Company - Public,-1,1,1,56.74,60.77,58.755, CA,Elk Grove,-1,0,0,0,0,0
110,Driscoll Health,$71K - $115K (Glassdoor est.),Data Scientist,"Corpus Christi, TX","Where compassion meets innovation and technology and our employees are family.
Thank you for your interest in joining our team! Please review the job information below.
The job requires the ability to design reports using industry standard tools to mine data from the hospitals financial, operational and clinical enterprise systems. The information produced is for enhancing business/clinical processes. The successful candidate should have working experience with relational database querying tools and critical thinking skills to determine the appropriate course of action to meet reporting needs. The successful candidate must possess the ability to work in a team setting as well as independently and possess excellent analytical skills. Communication skills need to be above average to assess customer needs, assist others with report writing, and explain reports to customer audience. Preferred candidates must be well versed in financial and clinical reporting. Preferred candidate will have healthcare industry or related experience, prior experience working with an Electronic Medical Record (EMR)system, knowledge of Clarity data structure for financial and clinical applications, experience with report performance tuning and optimization, experience with SQL query writing and comfortable in making data manipulations and calculations directly in the SQL script.
Show More
Report",4.0,Health Care Services & Hospitals,Unknown,Hospital,-1,0,0,71.0,115.0,93.0, TX,Corpus Christi,-1,0,0,0,0,1
111,Net2Aspire,$65K - $80K (Employer est.),Jr. Data Scientist,Remote," Apply Statistical and Machine Learning methods to specific business problems and data.
 Ensure data quality throughout all stages of acquisition and processing, including such areas as data sourcing/collection, ground truth generation, normalization, transformation, cross-lingual alignment/mapping, etc.
 Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client-facing and internal purposes across the company that feature relevant KPIs and metrics
 Create data dashboards and other data visualization tools to track progress to inform continuous quality improvement of the Congregate Settings Investigation and Response Unit.
 Design, develop, evaluate, and release highly innovative models elevate the customer experience and track impact over time
Show More
Report",-1.0,Unknown / Non-Applicable,51 to 200 Employees,Company - Public,-1,0,1,65.0,80.0,72.5,Remote,Remote,-1,0,0,0,0,0
112,Humbi Analytics LLC,$80K - $120K (Employer est.),Healthcare Data Scientist,Remote,"Humbi Analytics LLC is looking for highly analytical individuals who are skilled in utilizing various data analytical tools to manipulate data and derive meaningful business insights for client consumption.
Our clients are health plans, drug manufacturers and healthcare providers (physician practices, hospitals and population health management organizations).
The duties of this position include: organizing and managing large and varied data sets, analyzing healthcare data to optimize business operations and communicating the findings through dissemination of data visualization exhibits and tabular reports.
Healthcare Data Analyst Responsibilities:
· Compiling and organizing healthcare data.
· Analyzing data to assist in delivering optimal healthcare management and decision making.
· Using healthcare data to achieve administrative needs and goals.
· Investigating data to find patterns and trends.
· Understanding healthcare business operations.
· Utilizing different data sources for analyses.
· Converting data into usable information that is easy to understand.
· Developing reports and presentations.
· Communicating analytic insights to management.








Show More
Report",-1.0,-1,-1,-1,-1,0,1,80.0,120.0,100.0,Remote,Remote,-1,0,0,0,0,0
113,Caterpillar,$83K - $119K (Glassdoor est.),Data Scientist,"Decatur, IL","Career Area:
Information Analytics
Job Description:
Your Impact Shapes the World at Caterpillar Inc.
Whether it be groundbreaking products, best-in-class solutions, or creating a lifelong career, you can do the work that matters at Caterpillar. With a 95-year legacy of quality and innovation and 150 locations in countries around the world, your impact spans the globe.
When you join Caterpillar, you are joining a global team who cares not just about the work we do – but also about each other. We are the makers, problem solvers and future world builders who are creating stronger, more sustainable communities. We don’t just talk about progress and innovation here – we make it happen, with our customers, where we work and live. Together, we are building a better world, so we can all enjoy living in it.
Show More
Report",4.0,Company - Public,10000+ Employees,1925,$10+ billion (USD),0,0,83.0,119.0,101.0, IL,Decatur,98,0,0,0,0,0
114,AT&T,$155K - $280K (Employer est.),Principal-Data Scientist,"Plano, TX","At AT&T our amazing people, combined with a culture that thrives on collaboration and creativity, are the foundation that create a great place to work. We empower our people to push the limits of what’s possible, driving groundbreaking innovation each and every day. We’re redefining the future of entertainment and mobile communications, and we’re ready for you to play a big part in that future too.
The Principal Data Scientist must have a complete understanding of AI/Big Data technologies including: Azure Data Lake services, Hive, Spark, Python, etc. Must deliver ML engineering contributions (e.g. work algorithm-based code in Azure Databricks) that enable optimal Natural Language Processing (NLP) solutions for high impact data insights projects.
This candidate will serve as a peer mentor and collaborator to a larger cross-functional team. The candidate needs to possess deep experiences in multiple supervised/un-supervised/Neural Network algorithms including Supervised/Un-Supervised/NLP such that they can provide guidance to junior level talent and to leadership about analytical methods, approaches, and timelines needed for Data Science (ML Engineering) work. Candidate must be able to manipulate massive data sets to identify insights that drive impactful business decisions that drive up revenue or reduce costs and engage with cross-functional teams to deliver results and with executive leaders to share key findings. This candidate will mentor junior level data scientists, interns, and deliver executive read-outs on team work to VP Level Leaders.
Show More
Report",3.7,Company - Public,10000+ Employees,1876,$10+ billion (USD),0,1,155.0,280.0,217.5, TX,Plano,147,1,0,1,0,0
115,Caterpillar,$90K - $125K (Glassdoor est.),"Sr. Data Scientist, Aftermarket Analytics","Chicago, IL","Career Area:
Information Analytics
Job Description:
Caterpillar uses quantitative methods such as business simulations, data mining, machine learning and advanced statistical techniques to solve problems.
As a Senior Aftermarket Data Scientist in the global aftermarket analytics team of Cat Digital, you will be tasked with enabling services growth by collaborating with other teams such as aftermarket leads and insights, business segments, and Cat Digital Analytics to maximize the value extraction of our digital products and services. With over one million connected assets worldwide, our business and in the industries, we serve, data is generated continuously by Cat® equipment using the latest technology, advanced analytics, telematics and AI capabilities to help our customers build a better world.
Show More
Report",4.0,Company - Public,10000+ Employees,1925,$10+ billion (USD),0,0,90.0,125.0,107.5, IL,Chicago,98,0,0,0,0,0
